iteration,mechanism,missing_rate,method,outcome,bias,mse,covered,n_effective
0,MCAR,0.1,Complete Case,0,0.01926386537869873,0.00037109650932862757,1,25
0,MCAR,0.1,Complete Case,1,0.0034698058147429878,1.2039552392024249e-05,1,25
1,MCAR,0.1,Complete Case,0,-0.10754839452636661,0.011566657165199003,1,24
1,MCAR,0.1,Complete Case,1,-0.133286161992137,0.017765200978594187,1,24
2,MCAR,0.1,Complete Case,0,0.06162312325510233,0.0037974093197135337,1,24
2,MCAR,0.1,Complete Case,1,-0.02087566188033002,0.00043579325894186396,1,24
3,MCAR,0.1,Complete Case,0,-0.025247520234242926,0.000637437277978506,1,24
3,MCAR,0.1,Complete Case,1,0.027517563263934952,0.0007572162879846624,1,24
4,MCAR,0.1,Complete Case,0,-0.10285399066938128,0.010578943396617172,1,24
4,MCAR,0.1,Complete Case,1,-0.07048347484730022,0.0049679202265500025,1,24
5,MCAR,0.1,Complete Case,0,-0.07122415116846492,0.005072879709668343,1,24
5,MCAR,0.1,Complete Case,1,-0.16013020471483136,0.025641682462013798,1,24
6,MCAR,0.1,Complete Case,0,0.06685717033400429,0.0044698812250700635,1,25
6,MCAR,0.1,Complete Case,1,-0.11615349327714417,0.013491634000483576,1,25
7,MCAR,0.1,Complete Case,0,0.08396509392127982,0.007050136997209341,1,24
7,MCAR,0.1,Complete Case,1,-0.05485542539142135,0.0030091176948737943,1,24
8,MCAR,0.1,Complete Case,0,-0.07582877207619027,0.005750002674582812,1,24
8,MCAR,0.1,Complete Case,1,-0.061605611532209614,0.003795251372257518,1,24
9,MCAR,0.1,Complete Case,0,0.1062445871896347,0.01128791230709589,1,25
9,MCAR,0.1,Complete Case,1,0.04349621133746373,0.0018919204007133083,1,25
10,MCAR,0.1,Complete Case,0,-0.14948849015552584,0.02234680868897875,1,24
10,MCAR,0.1,Complete Case,1,0.008178049500052575,6.688049362531018e-05,1,24
11,MCAR,0.1,Complete Case,0,0.03463971559007217,0.0011999098961610892,1,24
11,MCAR,0.1,Complete Case,1,0.06777627216804033,0.004593623068996278,1,24
12,MCAR,0.1,Complete Case,0,0.002216546457247781,4.9130781971376895e-06,1,24
12,MCAR,0.1,Complete Case,1,-0.127453749645866,0.01624445829879109,1,24
13,MCAR,0.1,Complete Case,0,0.0005663623351928049,3.2076629472504706e-07,1,24
13,MCAR,0.1,Complete Case,1,-0.02188533736588877,0.00047896799161876714,1,24
14,MCAR,0.1,Complete Case,0,0.034196077999800734,0.0011693717505684557,1,24
14,MCAR,0.1,Complete Case,1,0.06920454719666119,0.004789269352694907,1,24
